variable,group,value
XrayLady,8:40,12
XrayLady,9:00,12
XrayLady,9:20,14
XrayLady,9:40,13
XrayLady,10:00,10
XrayLady,10:20,11
XrayLady,10:40,12
XrayLady,11:00,11
XrayLady,11:20,12
XrayLady,11:40,11
XrayLady,12:00,11
XrayLady,12:20,12
XrayLady,12:40,13
XrayLady,13:00,14
XrayLady,13:20,14
XrayLady,13:40,15
XrayLady,14:00,14
XrayLady,14:20,16
XrayLady,14:40,15
XrayLady,15:00,17
XrayLady,15:20,15
XrayLady,15:40,16
XrayLady,16:00,16
XrayLady,16:20,13
XrayLady,16:40,12
XrayLady,17:00,13
XrayLady,17:20,14
XrayLady,17:40,13
XrayLady,18:00,14
XrayLady,18:20,14
XrayLady,18:40,15
XrayLady,19:00,15
XrayLady,19:20,14
XrayLady,19:40,14
XrayLady,20:00,15
XrayLady,20:20,14
XrayLady,20:40,13
XrayLady,21:00,13
XrayLady,21:20,12
XrayLady,21:40,13
XrayLady,22:00,13
XrayLady,22:20,13
XrayLady,22:40,13
XrayLady,23:00,13
XrayLady,23:20,13
XrayLady,23:40,13
RadCurieous,0:00,16
RadCurieous,0:20,16
RadCurieous,0:40,16
RadCurieous,1:00,17
RadCurieous,1:20,16
RadCurieous,1:40,17
RadCurieous,2:00,16
RadCurieous,2:20,16
RadCurieous,2:40,15
RadCurieous,3:00,16
RadCurieous,3:20,15
RadCurieous,3:40,16
RadCurieous,4:00,16
RadCurieous,4:20,15
RadCurieous,4:40,16
RadCurieous,5:00,16
RadCurieous,5:20,17
RadCurieous,5:40,16
RadCurieous,6:00,17
RadCurieous,6:20,16
RadCurieous,6:40,16
RadCurieous,7:00,17
RadCurieous,7:20,16
RadCurieous,7:40,16
RadCurieous,8:00,15
RadCurieous,8:20,16
RadCurieous,8:40,16
RadCurieous,9:00,15
RadCurieous,9:20,16
RadCurieous,9:40,17
RadCurieous,10:00,16
RadCurieous,10:20,16
RadCurieous,10:40,15
RadCurieous,11:00,16
RadCurieous,11:20,16
RadCurieous,11:40,16
RadCurieous,12:00,16
RadCurieous,12:20,15
RadCurieous,12:40,17
RadCurieous,13:00,15
RadCurieous,13:20,16
RadCurieous,13:40,14
RadCurieous,14:00,15
RadCurieous,14:20,15
RadCurieous,14:40,16
RadCurieous,15:00,17
RadCurieous,15:20,16
RadCurieous,15:40,17
RadCurieous,16:00,18
RadCurieous,16:20,18
RadCurieous,16:40,18
RadCurieous,17:00,17
RadCurieous,17:20,18
RadCurieous,17:40,18
RadCurieous,18:00,17
RadCurieous,18:20,17
RadCurieous,18:40,17
RadCurieous,19:00,17
RadCurieous,19:20,18
RadCurieous,19:40,18
RadCurieous,20:00,19
RadCurieous,20:20,18
RadCurieous,20:40,17
RadCurieous,21:00,16
RadCurieous,21:20,16
RadCurieous,21:40,15
RadCurieous,22:00,14
RadCurieous,22:20,15
RadCurieous,22:40,16
RadCurieous,23:00,16
RadCurieous,23:20,17
RadCurieous,23:40,17
TaxiDriver,0:00,41
TaxiDriver,0:20,41
TaxiDriver,0:40,42
TaxiDriver,1:00,41
TaxiDriver,1:20,41
TaxiDriver,1:40,41
TaxiDriver,2:00,41
TaxiDriver,2:20,40
TaxiDriver,2:40,41
TaxiDriver,3:00,41
TaxiDriver,3:20,42
TaxiDriver,3:40,41
TaxiDriver,4:00,41
TaxiDriver,4:20,42
TaxiDriver,4:40,41
TaxiDriver,5:00,41
TaxiDriver,5:20,40
TaxiDriver,5:40,41
TaxiDriver,6:00,42
TaxiDriver,6:20,39
TaxiDriver,6:40,36
TaxiDriver,7:00,35
TaxiDriver,7:20,37
TaxiDriver,7:40,38
TaxiDriver,8:00,38
TaxiDriver,8:20,38
TaxiDriver,8:40,38
TaxiDriver,9:00,39
TaxiDriver,9:20,39
TaxiDriver,9:40,39
TaxiDriver,10:00,39
TaxiDriver,10:20,39
TaxiDriver,10:40,39
TaxiDriver,11:00,39
TaxiDriver,11:20,40
TaxiDriver,11:40,43
TaxiDriver,12:00,39
TaxiDriver,12:20,43
TaxiDriver,12:40,40
TaxiDriver,13:00,40
TaxiDriver,13:20,39
TaxiDriver,13:40,40
TaxiDriver,14:00,40
TaxiDriver,14:20,41
TaxiDriver,14:40,40
TaxiDriver,15:00,40
TaxiDriver,15:20,39
TaxiDriver,15:40,40
TaxiDriver,16:00,39
TaxiDriver,16:20,43
TaxiDriver,16:40,36
TaxiDriver,17:00,39
TaxiDriver,17:20,40
TaxiDriver,17:40,39
TaxiDriver,18:00,40
TaxiDriver,18:20,39
TaxiDriver,18:40,38
TaxiDriver,19:00,38
TaxiDriver,19:20,38
TaxiDriver,19:40,37
TaxiDriver,20:00,36
TaxiDriver,20:20,36
TaxiDriver,20:40,35
TaxiDriver,21:00,35
TaxiDriver,21:20,34
TaxiDriver,21:40,34
TaxiDriver,22:00,33
TaxiDriver,22:20,36
TaxiDriver,22:40,37
TaxiDriver,23:00,42
TaxiDriver,23:20,44
TaxiDriver,23:40,47
ASWillhiem,0:00,16
ASWillhiem,0:20,16
ASWillhiem,0:40,16
ASWillhiem,1:00,16
ASWillhiem,1:20,15
ASWillhiem,1:40,16
ASWillhiem,2:00,16
ASWillhiem,2:20,16
ASWillhiem,2:40,16
ASWillhiem,3:00,16
ASWillhiem,3:20,17
ASWillhiem,3:40,16
ASWillhiem,4:00,16
ASWillhiem,4:20,16
ASWillhiem,4:40,14
ASWillhiem,5:00,16
ASWillhiem,5:20,16
ASWillhiem,5:40,16
ASWillhiem,6:00,15
ASWillhiem,6:20,14
ASWillhiem,6:40,13
ASWillhiem,7:00,16
ASWillhiem,7:20,11
ASWillhiem,7:40,15
ASWillhiem,8:00,17
ASWillhiem,8:20,18
ASWillhiem,8:40,20
ASWillhiem,9:00,21
ASWillhiem,9:20,21
ASWillhiem,9:40,21
ASWillhiem,10:00,21
ASWillhiem,10:20,20
ASWillhiem,10:40,19
ASWillhiem,11:00,20
ASWillhiem,11:20,21
ASWillhiem,11:40,21
ASWillhiem,12:00,21
ASWillhiem,12:20,20
ASWillhiem,12:40,18
ASWillhiem,13:00,16
ASWillhiem,13:20,15
ASWillhiem,13:40,14
ASWillhiem,14:00,13
ASWillhiem,14:20,12
ASWillhiem,14:40,12
ASWillhiem,15:00,11
ASWillhiem,15:20,12
ASWillhiem,15:40,12
ASWillhiem,16:00,12
ASWillhiem,16:20,13
ASWillhiem,16:40,12
ASWillhiem,17:00,11
ASWillhiem,17:20,12
ASWillhiem,17:40,11
ASWillhiem,18:00,12
ASWillhiem,18:20,12
ASWillhiem,18:40,11
ASWillhiem,19:00,12
ASWillhiem,19:20,11
ASWillhiem,19:40,12
ASWillhiem,20:00,11
ASWillhiem,20:20,11
ASWillhiem,20:40,11
ASWillhiem,21:00,12
ASWillhiem,21:20,12
ASWillhiem,21:40,12
ASWillhiem,22:00,12
ASWillhiem,22:20,13
ASWillhiem,22:40,13
ASWillhiem,23:00,14
ASWillhiem,23:20,14
ASWillhiem,23:40,15
